Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
N289 8.7 Putte Hoogerh. NL IN,Zeeland-West-Brabant,Putte,Woensdrecht,51.367742,4.388518,Ja,,,,x,,,,x,
07 Oud Pernisserweg HBR,Rotterdam,Rotterdam,Rotterdam,51.880206,4.389329,Ja,,x,,x,,,,x,
A13 Re 12.0 Delft DH-RTD,Den Haag,Delft,Delft,51.989444,4.391667,Ja,,x,,,,,,,
A29 Li 97.5 Haringvlietbrug,Rotterdam,Ooltgensplaat,Goeree-Overflakkee,51.710119,4.397501,Ja,,x,,x,,,,x,
A29 Re 97.5 Haringvlietbrug,Rotterdam,Numansdorp,Numansdorp,51.710119,4.397501,Ja,,x,,x,,,,x,
06 Middenweg x Zoet.rijweg,Den Haag,'s-Gravenhage,'s-Gravenhage,52.07137,4.39831,Ja,,x,,,,,,,
N44 Re 22.6 Wassenaar Raaph.,Den Haag,Wassenaar,Wassenaar,52.136334,4.403824,Ja,,x,,,,,,,
06 Spieringdam x Zoet.rijweg,Den Haag,'s-Gravenhage,'s-Gravenhage,52.061389,4.406111,Ja,,x,,,,,,,
07 Matlingeweg Doenkade,Rotterdam,Rotterdam,Rotterdam,51.946928,4.408761,Ja,,,,x,,,,x,
07 Vlaardingweg ri A20,Rotterdam,Schiedam,Schiedam,51.929155,4.409118,Ja,,,,x,,,,x,
07 Vlaardingweg ri Sp. Polder,Rotterdam,Schiedam,Schiedam,51.929155,4.409118,Ja,,,,x,,,,x,
07 Matlingeweg Schiekade,Rotterdam,Rotterdam,Rotterdam,51.936414,4.411952,Ja,,,,x,,,,x,
N206 Tjalmaweg x Wassen.weg,Den Haag,Katwijk,Katwijk,52.1875,4.418056,Ja,,x,,,,,,,
N206 Prov.weg x Wassen.weg,Den Haag,Katwijk,Katwijk,52.186667,4.418333,Ja,,x,,,,,,,
N206 Prov.wg thv hmp 19.8,Den Haag,Katwijk,Den Haag,52.19777,4.41958,Ja,,x,,,,,,,
