Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
09 Orthenseweg x Citadellaan,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.697499,5.303333,Ja,,x,,,,,,,
09 Orthenseweg x Citadellaan,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.697499,5.303333,Ja,,x,,,,,,,
A15 Li 121.1 Geldermalsen,Oost-Nederland,Geldermalsen,Geldermalsen,51.86154,5.310726,Ja,,x,,x,,x,,x,
A15 Re 121.1 Geldermalsen,Oost-Nederland,Deil,Geldermalsen,51.861427,5.310785,Ja,,x,,x,,x,,x,
09 DB Bruistnsngl X Zndzgrstrt,Oost-Brabant,Den Bosch,Den Bosch,51.702607,5.318752,Ja,,x,,,,,,,
09 DB Bruistnsngl X Zndzgrstrt,Oost-Brabant,Den Bosch,Den Bosch,51.702607,5.318752,Ja,,x,,,,,,,
09 Bruistensingel x Herv.baan,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.701388,5.319444,Ja,,x,,,,,,,
09 Bruistensingel x Herv.baan,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.701388,5.319444,Ja,,x,,,,,,,
09 Bruistensngl x Herv.baan LA,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.70138,5.319506,Ja,,x,,,,,,,
09 Bruistensngl x Herv.baan LA,Oost-Brabant,s-Hertogenbosc,s-Hertogenbosch,51.70138,5.319506,Ja,,x,,,,,,,
09 DB Lagelandstr x Graafsewg,Oost-Brabant,Den Bosch,Den Bosch,51.693845,5.322036,Ja,,x,,,,,,,
09 DB Lagelandstr x Graafsewg,Oost-Brabant,Den Bosch,Den Bosch,51.693845,5.322036,Ja,,x,,,,,,,
A 7 Li 96.5 Kornwerderzand,Noord-Nederland,Kornwerderzand,Súdwest-Fryslân,53.073508,5.331399,Ja,,x,,x,,x,,,
A 7 Re 96.5 Kornwerderzand,Noord-Nederland,Kornwerderzand,Súdwest-Fryslân,53.073508,5.331399,Ja,,x,,x,,x,,,
09 A.Mulderweg ri Luchthvnwg A,Oost-Brabant,Eindhoven,Eindhoven,51.450536,5.394281,Ja,,x,,,,,,,
09 A.Mulderweg ri Luchthvnwg A,Oost-Brabant,Eindhoven,Eindhoven,51.450536,5.394281,Ja,,x,,,,,,,
09 A.Mulderweg ri vliegbasis V,Oost-Brabant,Eindhoven,Eindhoven,51.450536,5.394281,Ja,,x,,,,,,,
09 A.Mulderweg ri vliegbasis V,Oost-Brabant,Eindhoven,Eindhoven,51.450536,5.394281,Ja,,x,,,,,,,
09 Luchthavenweg ri Landsard,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthavenweg ri Landsard,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Fietspd Inkomend,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Fietspd Inkomend,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Fietspd Uitgaand,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Fietspd Uitgaand,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard BUS Ink,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard BUS Ink,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard BUS Uit,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard BUS Uit,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard Inkmnd,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsard Inkmnd,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsrd RD LA R,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Landsrd RD LA R,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg RD RA LA Contra,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg RD RA LA Contra,Oost-Brabant,Eindhoven,Eindhoven,51.459784,5.396484,Ja,,x,,,,,,,
09 Luchthvnwg Busbn ri Meerhvn,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvnwg Busbn ri Meerhvn,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvnwg Flight Forum,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvnwg Flight Forum,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvwg Busbn Meerhvn ink,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvwg Busbn Meerhvn ink,Oost-Brabant,Eindhoven,Eindhoven,51.455384,5.398596,Ja,,x,,,,,,,
09 Luchthvnwg ri Flight Form V,Oost-Brabant,Eindhoven,Eindhoven,51.45514,5.398818,Ja,,x,,,,,,,
09 Luchthvnwg ri Flight Form V,Oost-Brabant,Eindhoven,Eindhoven,51.45514,5.398818,Ja,,x,,,,,,,
09 A.Fokkerweg Airport In,Oost-Brabant,Eindhoven,Eindhoven,51.456122,5.400638,Ja,,x,,,,,,,
09 A.Fokkerweg Airport In,Oost-Brabant,Eindhoven,Eindhoven,51.456122,5.400638,Ja,,x,,,,,,,
01 Westerzeedijk ri Kimswerdln,Noord-Nederland,Kimswerd,Súdwest Fryslân,53.146117,5.41198,,Ja,,x,,,,,,
01 Westerzeedijk ri Willmshavn,Noord-Nederland,Kimswerd,Súdwest Fryslân,53.146117,5.41198,,Ja,,x,,,,,,
N390 1.98 Harlingen ri A31,Noord-Nederland,Harlingen,Harlingen,53.184798,5.433411,Ja,,x,,x,,,,x,
N390 1.98 Harlingen ri havens,Noord-Nederland,Harlingen,Harlingen,53.184798,5.433411,Ja,,x,,x,,,,x,
A28 Li 32.4 Amersfoort N,Oost-Nederland,Nijkerk,Nijkerk,52.216492,5.448738,Ja,,x,,x,,x,,x,
A28 Re 32.4 Amersfoort N,Oost-Nederland,Nijkerk,Nijkerk,52.216492,5.448738,Ja,,x,,x,,x,,x,
09 Botenlaan x Strijpsestr,Oost-Brabant,Eindhoven,Eindhoven,51.439167,5.450556,Ja,,x,,,,,,,
09 Botenlaan x Strijpsestr,Oost-Brabant,Eindhoven,Eindhoven,51.439167,5.450556,Ja,,x,,,,,,,
09 Boschdijk x Marconilaan,Oost-Brabant,Eindhoven,Eindhoven,51.451667,5.463611,Ja,,x,,,,,,,
09 Boschdijk x Marconilaan,Oost-Brabant,Eindhoven,Eindhoven,51.451667,5.463611,Ja,,x,,,,,,,
A 1 Li 48.7 Hoevelaken O,Oost-Nederland,Amersfoort,Amersfoort,52.165143,5.483406,Ja,,x,,x,,x,,x,
A 1 Li 48.7 Hoevelaken O,Midden-Nederland,Amersfoort,Amersfoort,52.165143,5.483406,Ja,,,,x,,,,,
A 1 Re 48.7 Hoevelaken O,Oost-Nederland,Amersfoort,Amersfoort,52.165143,5.483406,Ja,,x,,x,,x,,x,
A 1 Re 48.7 Hoevelaken O,Midden-Nederland,Amersfoort,Amersfoort,52.165143,5.483406,Ja,,,,x,,,,,
09 Kennedylaan 95.8 ri A50,Oost-Brabant,Eindhoven,Eindhoven,51.492221,5.48381,Ja,,x,,,,,,,
09 Kennedylaan 95.8 ri A50,Oost-Brabant,Eindhoven,Eindhoven,51.492221,5.48381,Ja,,x,,,,,,,
09 Kennedylaan 95.8 ri Centrum,Oost-Brabant,Eindhoven,Eindhoven,51.492221,5.48381,Ja,,x,,,,,,,
09 Kennedylaan 95.8 ri Centrum,Oost-Brabant,Eindhoven,Eindhoven,51.492221,5.48381,Ja,,x,,,,,,,
09 Piusln x Leenderwg,Oost-Brabant,Eindhoven,Eindhoven,51.424722,5.493333,Ja,,x,,,,,,,
09 Piusln x Leenderwg,Oost-Brabant,Eindhoven,Eindhoven,51.424722,5.493333,Ja,,x,,,,,,,
09 Leenderweg ri A67,Oost-Brabant,Eindhoven,Eindhoven,51.415099,5.49813,Ja,,x,,,,,,,
09 Leenderweg ri A67,Oost-Brabant,Eindhoven,Eindhoven,51.415099,5.49813,Ja,,x,,,,,,,
09 Leenderweg ri Eindhoven,Oost-Brabant,Eindhoven,Eindhoven,51.415099,5.49813,Ja,,x,,,,,,,
09 Leenderweg ri Eindhoven,Oost-Brabant,Eindhoven,Eindhoven,51.415099,5.49813,Ja,,x,,,,,,,
A31 Re 21.2 Herbijum ri LWRDN,Noord-Nederland,Herbaijum,Waadhoeke,53.196418,5.510267,Ja,,x,,,,,,,
A31 Li 21.2 Franeker ri Harlgn,Noord-Nederland,Franeker,Waadhoeke,53.196805,5.510631,Ja,,x,,,,,,,
09 Doctr Saal van Zwnbrgsingel,Oost-Brabant,Oss,Oss,51.761404,5.515633,Ja,,x,,,,,,,
09 Doctr Saal van Zwnbrgsingel,Oost-Brabant,Oss,Oss,51.761404,5.515633,Ja,,x,,,,,,,
A 2 Li 176.4 Leende,Oost-Brabant,Leende,Heeze-Leende,51.350628,5.541538,Ja,,,,x,,,,,
A 2 Li 176.4 Leende,Oost-Brabant,Leende,Heeze-Leende,51.350628,5.541538,Ja,,,,x,,,,,
A 2 Re 176.4 Leende,Oost-Brabant,Leende,Heeze-Leende,51.350628,5.541538,Ja,,,,x,,,,,
A 2 Re 176.4 Leende,Oost-Brabant,Leende,Heeze-Leende,51.350628,5.541538,Ja,,,,x,,,,,
A 6 Li 91.3 Lelystad N,Midden-Nederland,Lelystad,Lelystad,52.586262,5.552254,Ja,,,,x,,x,,,
A 6 Re 91.3 Lelystad N,Midden-Nederland,Lelystad,Lelystad,52.586156,5.552487,Ja,,,,x,,x,,,
02 Thorbeckeln Afrit A30 B-vld,Oost-Nederland,Barneveld,Barneveld,52.149895,5.566645,,Ja,,x,,x,,x,,x
02 Plantagelaan Rotonde Barnev,Oost-Nederland,Barneveld,Barneveld,52.126218,5.567077,,Ja,,x,,x,,x,,x
09 Mierlosewg ri Geldrop,Oost-Brabant,Geldrop,Geldrop-Mierlo,51.429722,5.573611,Ja,,x,,,,,,,
09 Mierlosewg ri Geldrop,Oost-Brabant,Geldrop,Geldrop-Mierlo,51.429722,5.573611,Ja,,x,,,,,,,
02 v. Geenstr Haverstr,Oost-Nederland,Putten,Putten,52,5.589444,,Ja,,x,,,,x,,x
N305 Gooiseweg ri B-huizen,Midden-Nederland,Zeewolde,Zeewolde,52.40528,5.59253,Ja,,,,x,,x,,,
N305 Gooiseweg Z-wolde/L-stad,Midden-Nederland,Zeewolde,Zeewolde,52.406101,5.593343,Ja,,,,x,,x,,,
A12 Li 104.5 Ede,Oost-Nederland,Ede,Ede,52.033076,5.593561,Ja,,x,,x,,x,,x,
A12 Re 104.5 Ede,Oost-Nederland,Ede,Ede,52.033208,5.594505,Ja,,x,,x,,x,,x,
02 Baron v Nagellstr xBiezerwg,Oost-Nederland,Barneveld,Barneveld,52.17198,5.596131,,Ja,,x,,x,,x,,x
02 Baron v NagellstrxEnergiewg,Oost-Nederland,Onbekend,Onbekend,52.166884,5.598251,,Ja,,x,,x,,x,,x
N303 14.7 Harderwijkerstr Teg,Oost-Nederland,Putten,Putten,52.267222,5.614167,Ja,,x,,x,,x,,x,
N270 Europaweg ri Deurne,Oost-Brabant,Helmond,Helmond,51.474167,5.632778,Ja,,,,x,,,,,
N270 Europaweg ri Deurne,Oost-Brabant,Helmond,Helmond,51.474167,5.632778,Ja,,,,x,,,,,
N270 Europaweg x Hortsedijk,Oost-Brabant,Helmond,Helmond,51.47499,5.6337,Ja,,,,x,,,,,
N270 Europaweg x Hortsedijk,Oost-Brabant,Helmond,Helmond,51.47499,5.6337,Ja,,,,x,,,,,
N302 Li 107.8 Harderwijk,Oost-Nederland,Harderwijk,Harderwijk,52.345798,5.644106,Ja,,x,,x,,x,,x,
N302 Re 107.8 Harderwk ri A28,Oost-Nederland,Harderwijk,Harderwijk,52.345798,5.644106,Ja,,x,,x,,x,,x,
09 Heeklaan x Kanaaldk ZW,Oost-Brabant,Helmond,Helmond,51.472777,5.653333,Ja,,x,,,,,,,
09 Heeklaan x Kanaaldk ZW,Oost-Brabant,Helmond,Helmond,51.472777,5.653333,Ja,,x,,,,,,,
09 Kanaaldk ZW x Engelseweg,Oost-Brabant,Helmond,Helmond,51.472778,5.654444,Ja,,x,,,,,,,
09 Kanaaldk ZW x Engelseweg,Oost-Brabant,Helmond,Helmond,51.472778,5.654444,Ja,,x,,,,,,,
N270 Kasteeltrav Stat.str,Oost-Brabant,Helmond,Helmond,51.4775,5.659167,Ja,,,,x,,,,,
N270 Kasteeltrav Stat.str,Oost-Brabant,Helmond,Helmond,51.4775,5.659167,Ja,,,,x,,,,,
10 Via Regia x Dr.Bakstr,Limburg,Maastricht,Maastricht,50.851111,5.668611,Ja,,,,x,,x,,,
10 Brusselseweg ri Belgie,Limburg,Maastricht,Maastricht,50.874722,5.672778,Ja,,,,x,,x,,,
A50 Li 142.5 Bankhoef,Oost-Nederland,Wijchen,Wijchen,51.814657,5.678916,Ja,,x,,x,,x,,x,
A50 Re 142.5 Bankhoef,Oost-Nederland,Wijchen,Wijchen,51.814657,5.678916,Ja,,x,,x,,x,,x,
10 Bosscherweg ri Belgie,Limburg,Maastricht,Maastricht,50.872204,5.682288,Ja,,,,x,,x,,,
10 Bosscherweg ri Maastricht,Limburg,Maastricht,Maastricht,50.872204,5.682288,Ja,,,,x,,x,,,
A 2 Li 272 Maastricht GO NL IN,Limburg,Maastricht,Maastricht,50.760833,5.7025,Ja,,,,x,,x,,,
A 2 Li 272 Maastricht GO NL IN,Limburg,Maastricht,Maastricht,50.760833,5.7025,Ja,,x,,,,,,,
A 2 Re 272 Maastricht GO NLUit,Limburg,Maastricht,Maastricht,50.760833,5.7025,Ja,,,,x,,x,,,
A 2 Re 272 Maastricht GO NLUit,Limburg,Maastricht,Maastricht,50.760833,5.7025,Ja,,x,,,,,,,
A15 Li 150.6 Valburg West,Oost-Nederland,Andelst,Overbetuwe,51.916021,5.710772,Ja,,x,,x,,x,,x,
A15 Re 150.6 Valburg West,Oost-Nederland,Andelst,Overbetuwe,51.916021,5.710772,Ja,,x,,x,,x,,x,
A 2 Li 269.3 Eijsden Patiel,Limburg,Eijsden,Eijsden,50.776389,5.728889,Ja,,,,x,,x,,,
A79 Li 1.9 Meerssen,Limburg,Meerssen,Meerssen,50.87738,5.745482,Ja,,x,,x,,,,,
A79 Re 1.9 Meerssen,Limburg,Meerssen,Meerssen,50.87738,5.745482,Ja,,x,,x,,,,,
A 6 Li 300.3 Oosterzee,Noord-Nederland,Follega,De Fryske Marren,52.873855,5.745493,Ja,,x,,x,,x,,,
10 Beek Vliegvldwg Nw Vliekrwg,Limburg,Beek,Beek,50.900083,5.75584,Ja,,,,x,,x,,,
10 Beek Vliegvldwg ri Luchthvn,Limburg,Beek,Beek,50.900083,5.75584,Ja,,,,x,,x,,,
A76 Li 0.4 Stein GO NL UIT,Limburg,Stein,Stein,50.96,5.758056,Ja,,,,x,,x,,,
A76 Li 0.4 Stein GO NL UIT,Limburg,Stein,Stein,50.96,5.758056,Ja,,x,,,,,,,
A76 Re 0.4 Stein GO NL IN,Limburg,Stein,Stein,50.96,5.758333,Ja,,,,x,,x,,,
A76 Re 0.4 Stein GO NL IN,Limburg,Stein,Stein,50.96,5.758333,Ja,,x,,,,,,,
N280 1.7 Roermondseweg Teg C,Limburg,Weert,Weert,51.2418,5.7619,Ja,,x,,,,,,,
10 Beek Vliegveldweg ri KMAR,Limburg,Beek,Beek,50.915239,5.768211,Ja,,,,x,,x,,,
10 Beek Vliegvldwg ri Meerssen,Limburg,Beek,Beek,50.915239,5.768211,Ja,,,,x,,x,,,
10 Beek Vliegvldwg ri Viaduct,Limburg,Beek,Beek,50.915239,5.768211,Ja,,,,x,,x,,,
10 Beek Vliegvldwg vanaf A2,Limburg,Beek,Beek,50.915239,5.768211,Ja,,,,x,,x,,,
A 6 Re 282.8 Emmeloord,Midden-Nederland,Emmeloord,Noordoostpolder,52.725278,5.771111,Ja,,,,x,,,,,
N310 Arnhemseweg,Oost-Nederland,Otterlo,Ede,52.097778,5.771944,Ja,,x,,x,,x,,x,
A50 Li 164.3 Grijsoord Z,Oost-Nederland,Arnhem,Arnhem,51.988609,5.772758,Ja,,x,,x,,x,,x,
A50 Re 164.3 Grijsoord Z,Oost-Nederland,Arnhem,Arnhem,51.988459,5.773002,Ja,,x,,x,,x,,x,
10 Beek Bamfordweg ri P5,Limburg,Beek,Beek,50.910592,5.77374,Ja,,,,x,,x,,,
10 Beek Europaln ri spotterspl,Limburg,Beek,Beek,50.910592,5.77374,Ja,,,,x,,x,,,
10 Beek Burg.Visschstraat IN,Limburg,Beek,Beek,50.910684,5.773842,Ja,,,,x,,x,,,
10 Beek Burg.Visschstraat UIT,Limburg,Beek,Beek,50.910684,5.773842,Ja,,,,x,,x,,,
10 Beek Vliegvldwg K en R Uit,Limburg,Beek,Beek,50.924181,5.776771,Ja,,,,x,,x,,,
10 Beek Vliegvldwg ri Europaln,Limburg,Beek,Beek,50.924181,5.776771,Ja,,,,x,,x,,,
10 Beek Europaln Airport In,Limburg,Beek,Beek,50.924682,5.779556,Ja,,,,x,,x,,,
10 Beek Europaln Airport Uit,Limburg,Beek,Beek,50.924609,5.780447,Ja,,,,x,,x,,,
A 2 Li 245.4 Beek,Limburg,Beek,Beek,50.933188,5.78182,Ja,,x,,x,,,,,
A 2 Re 245.4 Beek,Limburg,Beek,Beek,50.933188,5.78182,Ja,,x,,x,,,,,
10 Beek Europaln ri Belgielaan,Limburg,Beek,Beek,50.915074,5.783793,Ja,,,,x,,x,,,
10 Beek Europaln ri Portugalln,Limburg,Beek,Beek,50.915074,5.783793,Ja,,,,x,,x,,,
A 2 Li 244.3 Beek,Limburg,Beek,Beek,50.941495,5.787203,Ja,,x,,x,,x,,x,
A 2 Re 244.3 Beek,Limburg,Beek,Beek,50.941495,5.787203,Ja,,x,,x,,x,,x,
10 Stationsstraat thv 71 Teg,Limburg,Beek,Beek,50.943611,5.788333,Ja,,x,,,,,,,
A 2 Re 236.8 Urmond,Limburg,Urmond,Urmond,51.006705,5.794165,Ja,,x,,x,,,,,
A 2 Li 236.8 Urmond,Limburg,Urmond,Urmond,51.006593,5.794277,Ja,,x,,x,,,,,
N294 Urmonderbn xLemmenstr,Limburg,Einighausen,Sittard-Geleen,50.991667,5.805556,Ja,,x,,x,,,,,
N294 Urmonderbn x Veldwg,Limburg,Einighausen,Sittard-Geleen,50.991944,5.8075,Ja,,x,,x,,,,,
A15 Li 158.6 Ressen,Oost-Nederland,Slijk-Ewijk,Overbetuwe,51.892946,5.818094,Ja,,x,,x,,x,,x,
A15 Re 158.6 Ressen,Oost-Nederland,Slijk-Ewijk,Overbetuwe,51.892946,5.818094,Ja,,x,,x,,x,,x,
N326 Graafsewg x Neerb.wg,Oost-Nederland,Nijmegen,Nijmegen,51.828056,5.821389,Ja,,x,,x,,x,,x,
02 Neerbosscheweg,Oost-Nederland,Nijmegen,Nijmegen,51.829444,5.821389,,Ja,,x,,,,x,,x
A76 Li 5.7 Geleen,Limburg,Geleen,Geleen,50.951656,5.82194,Ja,,x,,x,,,,,
A76 Re 5.7 Geleen,Limburg,Geleen,Geleen,50.951656,5.82194,Ja,,,,x,,x,,,
01 LWRDN Aldansdk ri Greunsbr,Noord-Nederland,Leeuwarden,Leeuwarden,53.190627,5.822761,,Ja,,x,,,,,,
N326 Graafsew Neerb.w Grve,Oost-Nederland,Nijmegen,Nijmegen,51.829722,5.823056,Ja,,x,,x,,x,,x,
01 LWRDN Holstmrwg richting PI,Noord-Nederland,Leeuwarden,Leeuwarden,53.191878,5.823654,,Ja,,x,,,,,,
01 LWRDN Holstmrwg vanaf PI,Noord-Nederland,Leeuwarden,Leeuwarden,53.191878,5.823654,,Ja,,x,,,,,,
02 Jonkerbosplein ri Malden,Oost-Nederland,Nijmegen,Nijmegen,51.82532,5.82523,,Ja,,x,,,,x,,x
02 Jonkerbosplein ri Gof,Oost-Nederland,Nijmegen,Nijmegen,51.825278,5.825556,,Ja,,x,,,,x,,x
10 Ittervoorterweg Thorn IN,Limburg,Thorn,Maasgouw,51.167512,5.830865,Ja,,,,,,x,,,
10 Ittervoorterweg Thorn UIT,Limburg,Thorn,Maasgouw,51.167512,5.830865,Ja,,,,,,x,,,
01 LWRDN Greunsburg,Noord-Nederland,Leeuwarden,Leeuwarden,53.192767,5.835468,,Ja,,x,,,,,,
N50 Li 258.2 Kampen,Midden-Nederland,Ens,Noordoostpolder,52.612995,5.841739,Ja,,,,x,,,,,
N50 Re 258.2 Kampen,Midden-Nederland,Ens,Noordoostpolder,52.612995,5.841739,Ja,,,,x,,,,,
N765 Li 21.4 Kampen,Midden-Nederland,Ens,Noordoostpolder,52.612995,5.841739,Ja,,,,x,,,,,
N765 Re 21.4 Kampen,Midden-Nederland,Ens,Noordoostpolder,52.612995,5.841739,Ja,,,,x,,,,,
10 Meers ri Steegputstraat,Limburg,Thorn,Maasgouw,51.161481,5.847455,Ja,,,,,,x,,,
10 Meers ri Wessem,Limburg,Thorn,Maasgouw,51.161481,5.847455,Ja,,,,,,x,,,
N275 Venloseweg thv 18 Teg C,Limburg,Ospel,Nederweert,51.310833,5.858611,Ja,,x,,,,,,,
N326 Oranjesingel,Oost-Nederland,Nijmegen,Nijmegen,51.8425,5.865556,Ja,,x,,x,,x,,x,
N326 x V. Schevichavenstraat,Oost-Nederland,Nijmegen,Nijmegen,51.842765,5.866285,Ja,,x,,x,,x,,x,
N278 X Molenweg ri Vaals,Limburg,Gulpen,Gulpen-Wittem,50.81379,5.88819,Ja,,x,,x,,,,,
02 Batavierenweg x Eldenseweg,Oost-Nederland,Arnhem,Arnhem,51.965833,5.890556,,Ja,,x,,,,x,,x
02 Matsersngl x Gron.sngl,Oost-Nederland,Arnhem,Arnhem,52,5.892778,,Ja,,x,,,,x,,x
N325 Pleijwg x Nijmeegsewg LA,Oost-Nederland,Arnhem,Arnhem,51.9625,5.898056,Ja,,x,,x,,x,,x,
N325 Pleijwg x Nijmeegsewg RD,Oost-Nederland,Arnhem,Arnhem,51.9625,5.898056,Ja,,x,,x,,x,,x,
02 Nijmeegseweg x Gel.Rooslaan,Oost-Nederland,Arnhem,Arnhem,51.969167,5.905556,,Ja,,x,,,,x,,x
N278 x Partijerweg ri Vaals,Limburg,Wittem,Gulpen-Wittem,50.811667,5.913889,Ja,,x,,x,,x,,,
02 Velperb.sngl x Steenstr,Oost-Nederland,Arnhem,Arnhem,51.982778,5.914167,,Ja,,x,,x,,x,,x
N278 x Wit. Allee ri MSTRCHT,Limburg,Wittem,Gulpen-Wittem,50.81156,5.91526,Ja,,x,,,,,,,
A 1 Li 79.8 Apeldoorn W,Oost-Nederland,Apeldoorn,Apeldoorn,52.181641,5.917701,Ja,,x,,x,,x,,x,
A 1 Re 79.8 Apeldoorn W,Oost-Nederland,Apeldoorn,Apeldoorn,52.181641,5.917701,Ja,,x,,x,,x,,x,
A32 Li 46.1 Heerenveen,Noord-Nederland,Heerenveen,Heerenveen,52.960556,5.9375,Ja,,x,,x,,,,x,
A32 Re 46.2 Heerenveen,Noord-Nederland,Heerenveen,Heerenveen,52.961071,5.937599,Ja,,x,,x,,,,x,
A50 Li 188.5 Waterberg N,Oost-Nederland,Arnhem,Arnhem,52.068208,5.943568,Ja,,x,,x,,x,,x,
A50 Re 188.5 Waterberg N,Oost-Nederland,Arnhem,Arnhem,52.068208,5.943568,Ja,,x,,x,,x,,x,
N325 Nieuw Rijkswg ri Duitslnd,Oost-Nederland,Berg en Dal,Berg en Dal,51.821954,5.946363,Ja,,x,,x,,x,,x,
N325 Nieuw Rijkswg ri Ubbergen,Oost-Nederland,Berg en Dal,Berg en Dal,51.821954,5.946363,Ja,,x,,x,,x,,x,
02 Lange Water x Lange Wal,Oost-Nederland,Arnhem,Arnhem,51.984167,5.955278,,Ja,,x,,,,x,,x
02 L. Water x Bethanienstr.,Oost-Nederland,Arnhem,Arnhem,51.979444,5.960278,,Ja,,x,,x,,x,,x
02 Arnhemseweg x Ravenweg,Oost-Nederland,Apeldoorn,Apeldoorn,52.194052,5.96238,,Ja,,x,,,,x,,x
N274 Provincialewg ri Brunssum,Limburg,Jabeek,Jabeek,50.978272,5.971896,Ja,,x,,x,,x,,x,
N274 Provincialewg ri DUITSLND,Limburg,Jabeek,Jabeek,50.978272,5.971896,Ja,,x,,,,,,,
N277 Li 52.7 Middenpeelweg,Limburg,Sevenum,Horst aan de Maas,51.378859,5.984261,Ja,,x,,x,,,,,
N277 Re 52.6 Middenpeelweg,Limburg,Sevenum,Horst aan de Maas,51.378859,5.984261,Ja,,x,,x,,,,,
N281 Toerit A76 ri Heerlen,Limburg,Heerlen,Heerlen,50.83298,6.00609,Ja,,,,x,,,,,
N281 Toerit A76 ri Simpelveld,Limburg,Heerlen,Heerlen,50.83478,6.01015,Ja,,,,x,,,,,
A12 Li 137.1 Duiven,Oost-Nederland,Duiven,Duiven,51.964174,6.01083,Ja,,x,,x,,x,,x,
A12 Re 137.1 Duiven,Oost-Nederland,Duiven,Duiven,51.964174,6.01083,Ja,,x,,x,,x,,x,
A76 Re 27.0 Heerlen GO NL UIT,Limburg,Heerlen,Heerlen,50.826389,6.016667,Ja,,,,x,,x,,,
A76 Re 27.0 Heerlen GO NL UIT,Limburg,Heerlen,Heerlen,50.826389,6.016667,Ja,,x,,,,,,,
A76 Li 27.0 Heerlen GO NL IN,Limburg,Heerlen,Heerlen,50.819722,6.023889,Ja,,x,,x,,,,,
A76 Li 27.0 Heerlen GO NL IN,Limburg,Heerlen,Heerlen,50.819722,6.023889,Ja,,x,,,,,,,
A77 Re 10.9 Gennep GO NL Uit,Limburg,Siebengewald,Bergen,51.674722,6.028611,Ja,,,,x,,x,,,
A77 Re 10.9 Gennep GO NL Uit,Limburg,Siebengewald,Bergen,51.674722,6.028611,Ja,,x,,,,,,,
A77 Li 10.9 Gennep GO NL In,Limburg,Siebengewald,Bergen,52,6.032222,Ja,,,,x,,x,,,
A77 Li 10.9 Gennep GO NL In,Limburg,Siebengewald,Bergen,52,6.032222,Ja,,x,,,,,,,
N271 Rijksweg N x Molenweg,Limburg,Swalmen,Roermond,51.23794,6.0446,Ja,,,,x,,,,,
N271 Rijkswg N x Hollestr,Limburg,Swalmen,Roermond,51.23853,6.04514,Ja,,,,x,,,,,
A28 Li 87.4 Zwolle Z,Oost-Nederland,Hattem,Hattem,52.4975,6.049722,Ja,,x,,x,,x,,x,
A28 Re 87.4 Zwolle Z,Oost-Nederland,Hattem,Hattem,52.4975,6.049722,Ja,,x,,x,,x,,x,
02 Hoofdstraat thv 36,Oost-Nederland,De Steeg,Rheden,52.018611,6.059167,,Ja,,x,,,,x,,x
02 Zwolle Hassltrwg LA Blalowg,Oost-Nederland,Zwolle,Zwolle,52.514923,6.0702,,Ja,,x,,,,x,,x
