Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-SB-109,Schooneggendreef 27,52.12059,5.11876,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Binnensport: Dreef
UTR-CM-503,Neude plein,52.09346,5.11861,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-501,Loeff Berchmakerstraat,52.09372,5.11853,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-SB-132,Mariaplaats 2,52.08990,5.1184,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Zadelstraat
UTR-CM-540,Breedstraat / Predikherenkerkhof,52.09513,5.11816,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-245,Mariaplaats,52.08963,5.117894,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-521,Mariaplaats / Zadelstraat / Springweg,52.08949,5.11775,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-506,Vinkenburgstraat / Neude,52.09237,5.1177,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-205,Hopakker / A. v. Wijcksbrug,52.09660,5.11768,Vast,,,Gemeente Utrecht,,Handhaving,Milieuzone
UTR-CM-519,Mariastraat / Mariaplaats,52.09011,5.11742,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-507,Oudegracht / Vinkenburgstraat,52.09182,5.11732,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-229,Drakenburgstraat,52.09275,5.117231,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-CM-548,Oudegracht / Drakenburgstraat,52.09277,5.11714,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-512,Bakkerbrug / richting Vinkenburgstraat,52.09159,5.11713,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-517,Steenweg / Mariastraat,52.09077,5.11712,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-VTH-228,Oudegracht,52.09356,5.116904,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
UTR-VTH-227,Oudegracht,52.09329,5.116681,Vast,08/11/2023,,Gemeente Utrecht,,Handhaving,Weren zwaar verkeer werven gebied
